"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to Types of Binary trees Page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on dropdown ""Linkedlist"" without sign in","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on dropdown ""Queue"" without sign in","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","user is able to navigate to Terminologies Page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Linkedlist"" on home page without sign in","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to Types of Trees Page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on dropdown ""Graph"" without sign in","0","0","1","0","0"
"","Testing LinkedList page","user navigated to "" linked list"" page","0","0","1","0","0"
"","Testing LinkedList page","User navigated to ""Introduction"" page","0","0","1","0","0"
"","Array feature","Max Consecutive Ones page","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to Overview of Trees page","0","0","1","0","0"
"","Queue feature","Queue Operations","0","0","1","0","0"
"","Queue feature","Implementation using array","0","0","1","0","0"
"","Array feature","Arrays on Python page","0","0","1","0","0"
"","Testing data structure Module","The user is logged in to DS Algo portal","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Datastructures"" on home page without sign in","0","0","1","0","0"
"","HerokuApp Testcases","DS Algo Portal","0","0","2","0","0"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to Implementation in Python Page","0","0","1","0","0"
"","Queue feature","The user is logged in to DS Algo portal","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User launch home page of an dsalgo project","0","0","1","0","0"
"","Queue feature","Practice Questions","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on sign in","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Queue"" on home page without sign in","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to Tree Traversals Page","0","0","1","0","0"
"","Testing Stack Module","signin Module","0","0","0","0","1"
"","Testing tree page on DSalgo aplliction","The user is logged in to DS Algo portal","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Tree"" on home page without sign in","0","0","1","0","0"
"","Array feature","The user is logged in to DS Algo portal","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to Implementation of Binary Trees Page","0","0","1","0","0"
"","HerokuApp Testcases","user enter username only","0","0","1","0","0"
"","Testing LinkedList page","The user validating ""Practice Questions"" page","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","The user validating ""Practice Questions"" page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on dropdown ""Tree"" without sign in","0","0","1","0","0"
"","Array feature","Basic Operations In List","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on dropdown ""Stack"" without sign in","0","0","1","0","0"
"","Testing graph page on DSalgo aplliction","Graph Module","0","0","1","0","0"
